"designacion_anio","justicia_federal_o_nacional","cargo_tipo","instancia_tipo","materia","cantidad_varones","cantidad_mujeres"
2000,"Nacional","Defensor","Tribunal","Penal",1,0
2000,"Federal","Fiscal","Juzgado","Penal",1,0
2000,"Nacional","Fiscal","Tribunal","Penal",1,0
2001,"Federal","Defensor","Juzgado","Penal",0,1
2001,"Nacional","Defensor","Juzgado","Múltiple",0,2
2001,"Nacional","Defensor","Juzgado","Penal",0,1
2001,"Federal","Fiscal","Cámara","Penal",3,0
2001,"Nacional","Fiscal","Juzgado","Múltiple",0,1
2001,"Nacional","Fiscal","Tribunal","Penal",1,0
2001,"Federal","Juez","Cámara","Electoral",2,0
2001,"Federal","Juez","Cámara","Múltiple",4,2
2001,"Federal","Juez","Juzgado","Múltiple",5,1
2001,"Federal","Juez","Cámara","Penal",1,0
2001,"Federal","Juez","Juzgado","Penal",1,0
2001,"Federal","Juez","Tribunal","Penal",3,1
2001,"Federal","Juez","Cámara","Seguridad social",1,0
2001,"Nacional","Juez","Juzgado","Civil y/o comercial",4,5
2001,"Nacional","Juez","Juzgado","Laboral",2,0
2001,"Nacional","Juez","Tribunal","Penal",1,0
2002,"Federal","Defensor","Cámara","Penal",1,0
2002,"Federal","Defensor","Juzgado","Penal",1,0
2002,"Federal","Defensor","Tribunal","Penal",0,1
2002,"Federal","Defensor","Cámara","Penal económico",1,0
2002,"Nacional","Defensor","Juzgado","Penal",1,0
2002,"Nacional","Defensor","Tribunal","Penal",0,1
2002,"Federal","Fiscal","Juzgado","Penal",2,0
2002,"Federal","Fiscal","Tribunal","Penal",1,0
2002,"Nacional","Fiscal","Juzgado","Múltiple",1,0
2002,"Nacional","Fiscal","Juzgado","Penal",1,0
2002,"Federal","Juez","Cámara","Civil y/o comercial",2,1
2002,"Federal","Juez","Juzgado","Civil y/o comercial",1,0
2002,"Federal","Juez","Juzgado","Contencioso administrativo",2,1
2002,"Federal","Juez","Cámara","Múltiple",3,2
2002,"Federal","Juez","Juzgado","Múltiple",8,0
2002,"Federal","Juez","Juzgado","Penal",1,0
2002,"Federal","Juez","Tribunal","Penal",4,1
2002,"Federal","Juez","Juzgado","Penal económico",2,1
2002,"Nacional","Juez","Cámara","Civil y/o comercial",1,0
2002,"Nacional","Juez","Juzgado","Civil y/o comercial",2,2
2002,"Nacional","Juez","Cámara","Laboral",2,1
2002,"Nacional","Juez","Juzgado","Laboral",2,1
2002,"Nacional","Juez","Juzgado","Penal",2,3
2002,"Nacional","Juez","Tribunal","Penal",1,0
2003,"Nacional","Defensor","Juzgado","Penal",0,1
2003,"Nacional","Defensor","Tribunal","Penal",1,0
2003,"Federal","Fiscal","Tribunal","Penal",1,0
2003,"Nacional","Fiscal","Cámara","Múltiple",1,0
2003,"Federal","Juez","Cámara","Múltiple",0,1
2003,"Federal","Juez","Cámara","Penal",0,1
2003,"Federal","Juez","Tribunal","Penal",2,1
2003,"Federal","Juez","Cámara","Penal económico",1,0
2003,"Nacional","Juez","Cámara","Laboral",0,1
2003,"Nacional","Juez","Cámara","Penal",1,0
2003,"Nacional","Juez","Tribunal","Penal",2,0
2004,"Federal","Defensor","Tribunal","Penal",1,0
2004,"Nacional","Defensor","Juzgado","Múltiple",0,1
2004,"Nacional","Defensor","Juzgado","Penal",1,0
2004,"Federal","Fiscal","Juzgado","Penal",4,0
2004,"Nacional","Fiscal","Cámara","Civil y/o comercial",0,1
2004,"Nacional","Fiscal","Tribunal","Múltiple",1,0
2004,"Nacional","Fiscal","Juzgado","Penal",2,0
2004,"Nacional","Fiscal","Tribunal","Penal",0,1
2004,"Federal","Juez","Cámara","Civil y/o comercial",1,1
2004,"Federal","Juez","Juzgado","Contencioso administrativo",3,0
2004,"Federal","Juez","Cámara","Múltiple",3,0
2004,"Federal","Juez","Juzgado","Múltiple",3,2
2004,"Federal","Juez","Cámara","Penal",1,0
2004,"Federal","Juez","Juzgado","Penal",5,0
2004,"Federal","Juez","Tribunal","Penal",5,0
2004,"Federal","Juez","Juzgado","Seguridad social",0,2
2004,"Nacional","Juez","Cámara","Civil y/o comercial",3,1
2004,"Nacional","Juez","Juzgado","Civil y/o comercial",1,1
2004,"Nacional","Juez","Juzgado","Laboral",0,1
2004,"Nacional","Juez","Cámara","Penal",3,1
2004,"Nacional","Juez","Tribunal","Penal",3,1
2005,"Federal","Defensor","Cámara","Penal",1,1
2005,"Federal","Defensor","Tribunal","Penal",2,0
2005,"Nacional","Defensor","Cámara","Penal",0,1
2005,"Federal","Fiscal","Juzgado","Penal",2,0
2005,"Federal","Juez","Cámara","Múltiple",0,1
2005,"Federal","Juez","Juzgado","Múltiple",3,2
2005,"Federal","Juez","Tribunal","Penal",3,1
2005,"Nacional","Juez","Cámara","Civil y/o comercial",4,2
